,ID,Title,City,Year,lat,lng,url
64,271,"(Draft) Speech concerning the challenges facing black attorneys presented to the Black American Law Students Association (BALSA), Duquesne Chapter, Pittsburgh, Pennsylvania, 1977 May 27 (2 of 2)","Pittsburgh, Pennsylvania",1977,40.4397,-79.9763,http://bondpapersproject.org/node/271
65,258,"Tribute to Mrs. Fannie Lou Hamer delivered at her memorial service, Ruleville, Mississippi, 1977 March 20","Ruleville, Mississippi",1977,33.7245,-90.55,http://bondpapersproject.org/node/258
66,254,"Remarks concerning Southern economic conditions before The Southern Rural Policy Conference, Atlanta, Georgia, 1977 January 7 (1 of 3)","Atlanta, Georgia",1977,33.7628,-84.422,http://bondpapersproject.org/node/254
67,255,"Remarks concerning Southern economic conditions before The Southern Rural Policy Conference, Atlanta, Georgia, 1977 January 7 (2 of 3)","Atlanta, Georgia",1977,33.7628,-84.422,http://bondpapersproject.org/node/255
68,256,"Remarks concerning Southern economic conditions before The Southern Rural Policy Conference, Atlanta, Georgia, 1977 January 7 (3 of 3)","Atlanta, Georgia",1977,33.7628,-84.422,http://bondpapersproject.org/node/256
35,336,"Speech--""Strategies for Change"" The Texas Regional Conference on Alternative Policies, Arlington, Texas, 1978 February 4","Arlington, Texas",1978,32.6998,-97.125,http://bondpapersproject.org/node/336
36,337,"Remarks delivered to National Drug Abuse Conference 1978, Seattle, Washington, and with some revision to the Minnesota Social Service Association, Duluth, Minnesota, on April 9, 1978, 1978 April 5, 9","Seattle, Washington",1978,47.6211,-122.3244,http://bondpapersproject.org/node/337
37,338,"Speech--""What's Next?"" before the Psychiatric Association Conference, Atlanta, Georgia, 1978 May 10","Atlanta, Georgia",1978,33.7628,-84.422,http://bondpapersproject.org/node/338
56,296,"Remarks based on those prepared for the Annual Banquet, Laymen's Department, the Progressive National Baptist Convention, Inc., at the Peachtree Plaza Hotel, Atlanta, Georgia, 1979  (3 of 3)","Atlanta, Georgia",1979,33.7628,-84.422,http://bondpapersproject.org/node/296
69,236,"Remarks prepared for delivery to The Grant Wood Area Education Agency, Cedar Rapids, Iowa, concerning education as the most important function of state and local governments, 1979 August 19","Cedar Rapids, Iowa",1979,41.9662,-91.6783,http://bondpapersproject.org/node/236
70,237,"Remarks to the Triad Sickle Cell Anemia Foundation, Greensboro, North Carolina, 1979 September 16","Greensboro, North Carolina",1979,36.0956,-79.8271,http://bondpapersproject.org/node/237
71,238,"Speech to the Lake County Association of Black Communicators, Gary, Indiana, concerning the power of media, 1979 September 30","Gary, Indiana",1979,41.5905,-87.3473,http://bondpapersproject.org/node/238
72,239,"Speech concerning black education and the 25th Anniversary of Brown v the Board of Education, Topeka, Kansas, 1979","Topeka, Kansas",1979,39.0346,-95.6955,http://bondpapersproject.org/node/239
