PJB ID,Document Body
PJB 1404,"<p>October 25, 1967</p><p>Mr. Alan H. Jones<br/>Michigan Conference of Concerned Democrats<br/>P. O. Box 260<br/>Ann Arbor, Michigan</p><p>Dear Mr. Jones:</p><p>As I told Larry Horowitz, I must be in Boston by noon on the 3rd and therefore would not stay through that evening, and am not sure now whether I could arrive on Friday afternoon.</p><p>I should know that soon enough to let you know in time, however.</p><p>I am enclosing a biographical statement and a photograph. I'm sorry I do not have more pictures.</p><p>Sincerely,</p><p>Julian Bond</p><p>Enclosures</p><p>Thanks to FromThePage transcription contributors: TeeTwoThree Carlos Perez</p>"
PJB 787,"<p>February 15, 1967</p><p>Dr. Albert M. Davis<br/>239 Auburn Avenue<br/>Atlanta, Georgia</p><p>Dear Dr. Davis:</p><p>While reading reports of the NAACP's Housing Conference, I wondered if anyone had mentioned the importance of spreading low-cost public units throughout the city.</p><p>I mean spreading to a much greater degree than simply building another huge project in the Northside, for instance.</p><p>What I mean is the location, in middle and upper-class neighborhoods, of small units of public housing.</p><p>This would have the effect, I believe, of breaking up the ghettoes - white and black - that are created by the sprawling projects that exist in Atlanta and most American cities today.</p><p>While public housing does provide homes for low-income families, it also tends to segregate them economically, and that economic segregation means they are locked into the cycle of poverty that brought them into public housing in the first instance.</p><p>The schools that serve communities of low-income people are obviously not of the same quality as are schools in middle and upper class neighborhoods; the services extended by the city and county to neighborhoods of low income people - whether they live in public or private housing - is seriously lacking.</p><p>To scatter isolated units of public housing in Collier Heights, or Peyton Forrest, or in the block that Ivan Allen lives in would obviously displease a great many people, both white and Negro, but it would have the beneficial effect of breaking up the concrete slums that public housing becomes.</p><p>I hope you will consider this suggestion.  I'd like to know what you think of it.  To my knowledge, only one American city - Bridgeport, Connecticut - has ever seriously considered any such experiment.</p><p>Sincerely,</p><p>Julian Bond</p><p>JB:mlj</p><p>Thanks to FromThePage transcription contributors: TeeTwoThree Emily Hemlinger Sarah Ahmad</p>"
PJB 788,"<p>Dr. Albert M. Davis<br/>239 ##### Auburn Acenue<br/>Atlanta, Georgia</p><p>Dear Dr. Davis:</p><p>While reading reports of the NAACP's Housing Conference, I wondered if anyone had mentioned the importance of spreading low-cost public housing units throughout the city.</p><p>I mean spreading to a much greater degree than simply building another huge xxx project in the North Side, for instance.</p><p>What I mean is the location, in middle and upper-class neighborhoods, of small units of public housing.</p><p>This would have the effect, I believe, of breaking up the ghettoes - white and black - that are created by the sprawling projects that exist in Atlanta and most American cities today.</p><p>While public housing does provide homes for low-income families, it also tends to segregate them economically, and that economic segregation means they are locked into the cycle of poverty that brought them into public housing in the first instance.</p><p>The schools that serve communities of low-income people are obviously not of the same quality as are schools in middle and upper class neighborhoods; the services extended by the city and county to neighborhoods of low income people - whether they live in public or private housing - is serously lacking.</p><p>To scatter isolated units of public housing in Collier Heights, or Peyton Forrest, or in the block that Ivan Allen lives in would obviously displease a great many people, both white and Negro, but it would have the beneficial effect of breaking up the concrete slums that public housing becomes.</p><p>I hope you will consider this suggestion. I'd like to know what you think of it. To my knowledge, only one American city - Bridgeport, Conneticut - has ever seriously considered any such experiment.</p><p>Sincerely,</p><p>cc to: Jesse Hill, Jr.<br/>Atlanta Life Insurance Company<br/>##### Auburn Avenue<br/>Atlanta, Georgia</p><p>Thanks to FromThePage transcription contributors: Emily Hemlinger Jannyp</p>"
PJB 1595,"<p>February 13, 1968</p><p>Mrs. Alberta Anderson<br/>The Cosmopolite Club<br/>383 Chestnut St., S. W.<br/>Atlanta, Georgia</p><p>Dear Mrs. Anderson:</p><p>For over three years, I have been sending a newsletter to residents of my district. The newsletter is my way of telling people what I am doing as their Representative and how their government affects them</p><p>I am writing to ask if you could send me a list of the names and addresses of the members of the Cosmopolite Club. When I receive the list, I will place each name on my mailing list and send each member a copy of the newsletter on a regular basis.</p><p>Sincerely,</p><p>Julian Bond</p><p>JB:lcm</p><p>Thanks to FromThePage transcription contributors: TeeTwoThree Carlos Perez</p>"
PJB 2415,"<p>office at 361 Lee St SW</p><p>May 23, 1969</p><p>Dear Miss Healy,</p><p>I am sorry I have not<br/>replied to your letter of invitation but I have<br/>been away from Atlanta for the past week and do<br/>not have a secretary to help with the mail.</p><p>I will not be able<br/>to come to Rochester on the date you mention<br/>because of a previous commitment.  I hope you<br/>will ask me again some time.</p><p>Best wishes,</p><p>Julian Bond</p><p>Miss Alisa healy<br/>c/o Mr. Robert Ellerbusch<br/>180 S. Livernois<br/>Rochester, Michigan 48063</p><p>Thanks to FromThePage transcription contributors: DAHaraldson Carlos Perez</p>"
PJB 2450,"<p>office at 361 Lee Street SW</p><p>June 3, 1969</p><p>June 3, 1969</p><p>Dear Al,</p><p>After speaking before<br/>the Washingon Democratic Council where I understand you<br/>will speak in a week or so, I retired to my hotel room<br/>and there you were on the tube.  Very good.</p><p>But I write to send<br/>you my only published volume, the enclosed interviews.</p><p>I hope they demonstrate<br/>the need for forcing the Democratic Party nationally to<br/>force these state parties to get right with God, and the<br/>urgency of you and your colleagues extending the 1965<br/>Voting Rights Act and demanding aggressive enforcement<br/>of it.</p><p>Sincerely,</p><p>Julian Bond</p><p>Representative Allard Lowenstein<br/>House Office Building<br/>Washington, D.C.</p><p>n</p><p>Thanks to FromThePage transcription contributors: DAHaraldson Carlos Perez</p>"
PJB 1430,"<p>November 7, 1967</p><p>Mrs. Almena Lomax<br/>1215 South Tremaine<br/>Los Angeles, California  90019</p><p>Dear Mrs. Lomax:</p><p>It has been a pleasure to receive the Lomax Poll.</p><p>I would like to try an idea of mine out on you and get a reaction. I have begun to think about the establishment of a journal of political affairs in the South with particular interest in poverty and race. The publication would be monthly and would feature a review of governmental acts--city, county and state--in each of the Southern states, insofar as acts of governments had some relationship to racial affairs.</p><p>We would not, for instance, be interested in the action of the legislature of Mississippi raising the price of fishing licenses or even in their promoting a new authority to handle the sale of bonds for some industrial development, unless of course, we could show that the license fee discriminated against Negroes and that the leading members of the authority were members of the Citizens Council.</p><p>Each issue would try to detail some aspect of the Southern governmental, political scene. For example, two issues this past summer would have dealt with the Negro candidacies in Mississippi; why some succeeded and others failed as well as a discussion of prospects for the future.</p><p>I have been wondering about what prospects there were for succeeding with such a venture and whether you had any suggestions for its operation. I hope you can find a few minutes to jot down a few criticisms or suggestions.</p><p>Sincerely,</p><p>Thanks to FromThePage transcription contributors: TeeTwoThree Carlos Perez</p>"
PJB 2402,"<p>office at 361 Lee Street SW</p><p>May 23, 1969</p><p>Dear Miss Stein,</p><p>I am very sorry not to<br/>have answered your letter of invitation before now,<br/>but I have been trying to work without a secretary<br/>and have not had a chance to answer.</p><p>I will not be able to <br/>come to Medina on June 5.</p><p>Again, I regret any<br/>inconvenience my slow answer may have caused you.</p><p>Sincerely,</p><p>Julian Bond</p><p>Miss Ann Stein<br/>Secretary, Senior Class<br/>Medina High School<br/>Medina, Ohio 44256</p><p>Thanks to FromThePage transcription contributors: DAHaraldson Carlos Perez</p>"
PJB 1381,"<p>October 18, 1967</p><p>Mr. Arnold Aaronson<br/>Leadership Conference On Civil Rights<br/>2027 Massachusetts Avenue, N. W.<br/>Washington, D. C.  20036</p><p>Dear Mr. Aaronson:</p><p>When I was employed at the Student Nonviolent Coordinating Committee, I enjoyed receiving the Conference's memoranda.</p><p>Since leaving there, your information is no longer available to me. I am not affiliated with any of the Conference's participating organizations, and am writing to ask how a non-affiliated interested citizen can get his name placedon your mailing list.</p><p>Sincerely,</p><p>Julian Bond</p><p>JB:ph</p><p>Thanks to FromThePage transcription contributors: TeeTwoThree Carlos Perez</p>"
PJB 2426,"<p>May 27, 1969</p><p>Dear Mr. Garrett,</p><p>I am sorry to be so long<br/>in replying to your invitation.  I am not able<br/>to accept any invitations for mid-summer, since<br/>I need to be in Atlanta attending a special<br/>legislative session being called by the Governor.</p><p>I hope you will ask me<br/>again some other time.</p><p>Yours Sincerely,</p><p>Julian Bond</p><p>Mr. Arthur Garrett<br/>2515 Monaco Parkway<br/>Denver, Colorado 80207</p><p>b</p><p>Thanks to FromThePage transcription contributors: DAHaraldson Carlos Perez</p>"
PJB 769,"<p>February 8, 1967</p><p>Dr. B. R. Tilley, President<br/>Albany Junior College<br/>Albany, Georgia</p><p>Dear Dr. Tilley:</p><p>I am enclosing a copy of a letter to Mr. Edwin L. Swain about the job listings for openings under the State Merit System.</p><p>I hope you can urge your placement officer to get qualified students to follow up on some of the job opportunities they will be receiving notices of.</p><p>Sincerely,</p><p>Julian Bond<br/>Representative, District 136</p><p>JB:jc</p><p>Enclosure<br/></p><p>Thanks to FromThePage transcription contributors: Bev D. Emily Hemlinger</p>"
PJB 2380,"<p>May 21, 1969</p><p>Dear Miss Stabenow,</p><p>Please forgive me for not<br/>answering your kind letter and invitation to speak<br/>at Saint Bede's before the date had passed.  I have<br/>been out of the city much of the time this past<br/>month and my mail just didn't get answered since<br/>I have not had a secretary.</p><p>I hope you will ask me<br/>to come to Saint Bede's again some time in the<br/>future.</p><p>With every good wish, I am</p><p>Sincerely,</p><p>Julian Bond</p><p>Miss Barb Stabenow<br/>Saint Bede's High School<br/>Priory Road<br/>Post Office Box 66<br/>Eau Claire, Wisconsin</p><p>nb</p><p>Thanks to FromThePage transcription contributors: DAHaraldson Carlos Perez</p>"
PJB 1652,"<p>March 19, 1968</p><p>Mr. Bayard Rustin<br/>A. Philip Randolph Educational Fund, Inc.<br/>217 West 125th Street<br/>New York, New York</p><p>Dear Bayard:</p><p>Please forgive me for not answering sooner.</p><p>I will not be able to attend the March 29-31 meeting because of another commitment. If any interesting papers are presented, I would appreciate your sending me copies of them.</p><p>Sorry I can't be with you for the meeting.</p><p>Sincerely,</p><p>Julian Bond</p><p>JB:ph</p><p>Thanks to FromThePage transcription contributors: TeeTwoThree Carlos Perez</p>"
PJB 1701,"<p>April 19, 1968</p><p>Honorable Ben Fortson<br/>Secretary of State<br/>State Capitol<br/>Atlanta, Georgia  30334</p><p>Dear Mr. Fortson:</p><p>I just wanted to let you know how much your actions during the time of the funeral of Dr. Martin Luther King, Jr. were appreciated.</p><p>It is gratifying to know that somewhere in that building someone exists who is capable of the proper gesture at the proper time.</p><p>Sincerely,</p><p>Julian Bond</p><p>JB:ph</p><p>Thanks to FromThePage transcription contributors: TeeTwoThree Carlos Perez</p>"
PJB 766,"<p>February 8, 1967</p><p>Dr. Benjamin E. Mays, President<br/>Morehouse College<br/>Atlanta, Georgia</p><p>Dear Dr. Mays:</p><p>I am enclosing a copy of a letter to Mr. Edwin L. Swain about the job listings for openings under the State Merit System.</p><p>I hope you can urge your placement officer to get qualified students to follow up on some of the job opportunities they will be receiving notices of.</p><p>Sincerely,</p><p>Julian Bond<br/>Representative, District 136</p><p>JB:mlj<br/></p><p>Thanks to FromThePage transcription contributors: Bev D. Emily Hemlinger</p>"
PJB 1836,"<p>June 27, 1968</p><p>Dear Mr. Kyle,</p><p>I just wanted to drop you a note to tell you how much I enjoyed my short stay in Pensacola. I hope you can find occasion to invite me back.</p><p>Sincerely,</p><p>Julian Bond</p><p>Mr. Benjamin Kyle, Principal<br/>3420 Pinestead Road<br/>Pensacola, Florida  32505</p><p>:nb</p><p>Thanks to FromThePage transcription contributors: TeeTwoThree Carlos Perez</p>"
PJB 1449,"<p>November 28, 1967</p><p>Dr. Benjamin E. Mays<br/>Morehouse College<br/>223 Chestnut Street, SW<br/>Atlanta, Georgia</p><p>Dear Dr. Mays:</p><p>I believe I once mentioned to you that my first--and only--legislative successes were the two resolutions I enclose here.</p><p>You will note from the date they were adopted that it has taken over nine months for me to transmit them to you.</p><p>However, I did want you to have them, and I hope you will accept them as a belated tribute from the state of Georgia as well as from an almost-graduate of Morehouse.</p><p>Sincerely,</p><p>Julian Bond</p><p>JB:ph</p><p>Thanks to FromThePage transcription contributors: TeeTwoThree Carlos Perez</p>"
PJB 780,"<p>February 9, 1967</p><p>Miss Beverly Ouisley<br/>2980 Del Mar Lane, S. W.<br/>Atlanta, Georgia  30311</p><p>Dear Miss Ouisley:</p><p>I would be glad to have you as my page.  You can choose any day between February 13 and March 17, during the week.</p><p>Let me know about a week before hand, get your principal to excuse you for the day, and I will take care of everything else.</p><p>Sincerely,</p><p>Julian Bond</p><p>JB:mlj</p><p>Thanks to FromThePage transcription contributors: TeeTwoThree Emily Hemlinger</p>"
PJB 1801,"<p>May 24, 1968</p><p>Mr. C. Conrad Browne<br/>Highlander Research and<br/>Education Center<br/>1625 Riverside Drive<br/>Knoxville, Tennessee 37915</p><p>Dear Conrad:</p><p>It is a great pleasure for me to accept appointment as a Board Member of the Highlander Center.</p><p>I am looking forward to attending the next board meeting.</p><p>Sincerely,<br/>Julian Bond</p><p>JB:ph</p><p>Thanks to FromThePage transcription contributors: KA Carlos Perez Sarah Ahmad</p>"
PJB 1803,"<p>June 6, 1968</p><p>The <strike>O</strike>Producer<br/>Front Page Challenge<br/>The Canadian Broadcasting Company<br/>Box 500<br/>Terminal A<br/>Toronto, Canada</p><p>Gentlemen:</p><p>The hotel where I sta<strike>t</strike>yed while in Toronto has sent me the enclosed bill.</p><p>I am forwarding it to you.</p><p>Sincerely,</p><p>Julian Bond</p><p>JB:nb<br/>encl.  <strike>s</strike>otmt</p><p>Thanks to FromThePage transcription contributors: TeeTwoThree Carlos Perez</p>"
PJB 2411,"<p>office at 361 Lee Street SW</p><p>May 23, 1969</p><p>Dear Deacon Albert,</p><p>I am sorry to be so long in answering Mr. Moore's letter of invitation to speak at the National Youth Congress.  I have been away from Atlanta a good deal this past month and have no secretary to help me with my mail.</p><p>I will not be able to come to Richmond because of a previous commitment.  I am sorry for any delay my slowness in answering may have caused you.</p><p>Yours sincerely,</p><p>Julian Bond</p><p>Deacon Charles E. Albert<br/>203 Frank Avenue<br/>Mamaroneck, New York</p><p>Thanks to FromThePage transcription contributors: Carlos Perez esh999</p>"
PJB 2428,"<p>office at 361 Lee St SW</p><p>May 28, 1969</p><p>Dear Charles,</p><p>I believe that you and I could:</p><p>(1) raise enough money<br/>(2) hire enough staff</p><p>to put out a newspaper that would compete and eventually engulf the <u>Voice</u>, <u>Inquirer</u> and the <u>World</u>.</p><p>It could have state-wide circulation, use up-to-date layout features, lots of photos and so on.</p><p>Give it some thought.</p><p>Julian Bond</p><p>Mr. Charles A. Black<br/>Office of Civil Rights <br/>No. 50 Seventh Street Northeast<br/>Room 404<br/>Atlanta, Georgia</p><p>nb</p><p>(right hand side) 3791 Rockport Pl</p><p>Thanks to FromThePage transcription contributors: Carlos Perez esh999</p>"
PJB 2457,"<p>June 10, 1969</p><p>Dear Mr. Pou,</p><p>I read your Sunday, June 8<br/>column with interest but thought you'd like to hear the correct<br/>story of my involvement in the Georgia Democratic Forum and<br/>the Macon Convention.</p><p>I was not ""walking along the<br/>street"" and whisked away by Representative Ben Brown.</p><p>I drove myself from Atlanta to<br/>Macon with my wife, John Lewis (who became a member of the<br/>challenge delegation) and two other friends.</p><p>We had planned the trip weeks<br/>in advance.  As I had spoken out of town the night before,<br/>my wife and the three others picked me up at the Atlanta<br/>airport that morning and we drove to Macon from there.  My feet<br/>never touched Hunter Street that day, nor did I touch the<br/>seat of Rep. Brown's car.</p><p>I had not been as active in the<br/>Forum's affairs as have some others, but had been a dues paid<br/>member of it and had been elected to the Forum's Fifth District<br/>Executive Committee.</p><p>Incidentally, despite Louisiana<br/>National Committeeman Marshall Brown, the McGover Committee<br/>is going ahead with its plans for a hearing in that state at<br/>a later date.</p><p>Sincerely,</p><p>Julian Bond</p><p>Mr. Charles Pou<br/>Atlanta Newspapers, Inc. - Atlanta, Georgia<br/>bcc Hal Guillmier</p><p>Thanks to FromThePage transcription contributors: DAHaraldson Carlos Perez</p>"
PJB 1831,"<p>June 13, 1968</p><p>Mr. Charles Prejean<br/>Federation of Southern Cooperatives<br/>52 Fairlie Street Northwest<br/>Atlanta, Georgia  30303</p><p>Dear Charles:</p><p>I don't know if you recall talking with me in John Lewis' office some weeks ago about plans the Federation had for developing materials for persons with low verbal and literacy skills. I wanted to follow up on that conversation, and thought a letter would be the best way.</p><p>I have been concerned for some time that the materials available to people who badly need information of various sorts are often so wordy and written for such a high literacy level that they are completely useless.</p><p>Some years ago, I helped some SNCC workers in Panola County, Mississippi developewhat can only be called an ""ASCS comic book"" an illustrated guide to the ASCS elections. They had a great deal of success with it, I believe, because it combined a common form, the comic book, with micro-syllabic words. I did the same thing with the Vietnam war in comic book form.</p><p>(more)</p>                       <p>Mr. Charles Prejean<br/>June 13, 1968<br/>Page two</p><p>When we spoke some weeks ago, you mentioned that the Federation had intended to look further into the possibility of developing materials for low-literacy groups. Is this still a possibility? Are you looking for people to do it.</p><p>I don't know if you remember my saying I will be leaving SRC in about three weeks. I have no opposition in the Democratic primary and therefore won't have to spend too much time campaigning.</p><p>At any rate, I hope you can find some time to get back in touch with me.</p><p>Sincerely,</p><p>Julian Bond</p><p>:nb</p><p>Thanks to FromThePage transcription contributors: TeeTwoThree Carlos Perez</p>"
PJB 2485,"<p>September 22, 1969</p><p>Dear Miss Dzieman,</p><p>Thank you for your letter.</p><p>I never make copies of my speeches and so I am unable to help you on that.</p><p>The <u>Readers</u> <u>Guide</u> will give you the other information you need.</p><p>Best wishes,</p><p>Julian Bond</p><p>Miss Christine A. Dzieman<br/>17 Sunset Drive<br/>Bedford Hills, N.Y  10507</p><p>Thanks to FromThePage transcription contributors: Carlos Perez esh999</p>"
PJB 2489,"<p>September 22, 1969</p><p>Dear Mr. Foreman,</p><p>Thank you for your invitation to have me speak. However, my schedule has been full for several months. If i am in the area, I should like to have an opportunity to visit with you.</p><p>Please keep in touch.</p><p>Sincerely,</p><p>Mr. Christopher H. Foreman<br/>Student Government Association<br/>Loyola Blakefield <br/>Towson, Maryland </p><p>Thanks to FromThePage transcription contributors: Zachary Busch Carlos Perez</p>"
PJB 2446,"<p>office at 361 Lee Street SW</p><p>June 3, 1969</p><p>Dear Clarence,</p><p>Did you ever think<br/>about being in the newspaper business?</p><p>I have, after having<br/>worked for two weeklies in Atlanta, come to believe that<br/>a decent black, aggressive and attractive weekly located<br/>in Atlanta could be economically successful as well as<br/>politically so.</p><p>Thinks about it.</p><p>Julian Bond</p><p>Mr. Clarence Avant<br/>Avant-Garde Productions<br/>Los Angeles, California</p><p>n</p><p>enc</p><p>Thanks to FromThePage transcription contributors: DAHaraldson Carlos Perez</p>"
